SINGLE_LINE_ADDRESS,SUB_BUILDING,BUILDING_NAME,BUILDING_NUMBER,STREET_NAME,LOCALITY,TOWN_NAME
"15 GARLAND CLOSE, EXETER, EX4 2NS",,,15,GARLAND CLOSE,,EXETER
"42 GARLAND CLOSE, EXETER, EX4 2NT",,,42,GARLAND CLOSE,,EXETER
"142 GLOUCESTER ROAD, EXETER, EX4 2JB",,,142,GLOUCESTER ROAD,,EXETER
"20 MEADOWBROOK CLOSE, EXETER, EX4 2NN",,,20,MEADOWBROOK CLOSE,,EXETER
"23 HIGH STREET, IDE, EXETER, EX2 9RW",,,23,HIGH STREET,,IDE
"1 RUSHFORTH PLACE, EXETER, EX4 2NU",,,1,RUSHFORTH PLACE,,EXETER
"21 HIGH STREET, IDE, EXETER, EX2 9RW",,,21,HIGH STREET,,IDE
"19 HIGH STREET, IDE, EXETER, EX2 9RW",,,19,HIGH STREET,,IDE
"71 WESTMINSTER ROAD, EXETER, EX4 2LT",,,71,WESTMINSTER ROAD,,EXETER
"52 BARLEY LANE, EXETER, EX4 1TD",,,52,BARLEY LANE,,EXETER
"11 RIPON CLOSE, EXETER, EX4 2NF",,,11,RIPON CLOSE,,EXETER
"43 GARLAND CLOSE, EXETER, EX4 2NT",,,43,GARLAND CLOSE,,EXETER
"17 HIGH STREET, IDE, EXETER, EX2 9RW",,,17,HIGH STREET,,IDE
"THE FLAT, 140 GLOUCESTER ROAD, EXETER, EX4 2JB",THE FLAT,,140,GLOUCESTER ROAD,,EXETER
"140 GLOUCESTER ROAD, EXETER, EX4 2JB",,,140,GLOUCESTER ROAD,,EXETER
"8 MEADOWBROOK CLOSE, EXETER, EX4 2NN",,,8,MEADOWBROOK CLOSE,,EXETER
"2 RUSHFORTH PLACE, EXETER, EX4 2NU",,,2,RUSHFORTH PLACE,,EXETER
"96 NADDER PARK ROAD, EXETER, EX4 1NX",,,96,NADDER PARK ROAD,,EXETER
"70 WESTMINSTER ROAD, EXETER, EX4 2LT",,,70,WESTMINSTER ROAD,,EXETER
"23 CHELMSFORD ROAD, EXETER, EX4 2LN",,,23,CHELMSFORD ROAD,,EXETER
"18 HIGH STREET, IDE, EXETER, EX2 9RN",,,18,HIGH STREET,,IDE
"10 HIGH STREET, IDE, EXETER, EX2 9RN",,,10,HIGH STREET,,IDE
"14 NADDER PARK ROAD, EXETER, EX4 1NU",,,14,NADDER PARK ROAD,,EXETER
"16 NADDER PARK ROAD, EXETER, EX4 1NU",,,16,NADDER PARK ROAD,,EXETER
"22 NADDER PARK ROAD, EXETER, EX4 1NU",,,22,NADDER PARK ROAD,,EXETER
"92 NADDER PARK ROAD, EXETER, EX4 1NX",,,92,NADDER PARK ROAD,,EXETER
"94 NADDER PARK ROAD, EXETER, EX4 1NX",,,94,NADDER PARK ROAD,,EXETER
"16 HIGH STREET, IDE, EXETER, EX2 9RN",,,16,HIGH STREET,,IDE
"14 HIGH STREET, IDE, EXETER, EX2 9RN",,,14,HIGH STREET,,IDE
"12 HIGH STREET, IDE, EXETER, EX2 9RN",,,12,HIGH STREET,,IDE
"8 HIGH STREET, IDE, EXETER, EX2 9RN",,,8,HIGH STREET,,IDE
"6 HIGH STREET, IDE, EXETER, EX2 9RN",,,6,HIGH STREET,,IDE
"4 HIGH STREET, IDE, EXETER, EX2 9RN",,,4,HIGH STREET,,IDE
"7 MEADOWBROOK CLOSE, EXETER, EX4 2NN",,,7,MEADOWBROOK CLOSE,,EXETER
"3 RUSHFORTH PLACE, EXETER, EX4 2NU",,,3,RUSHFORTH PLACE,,EXETER
"44 GARLAND CLOSE, EXETER, EX4 2NT",,,44,GARLAND CLOSE,,EXETER
"20 NADDER PARK ROAD, EXETER, EX4 1NU",,,20,NADDER PARK ROAD,,EXETER
